FEN;d19;d20
1B1bb1k1/1p4pp/2p2p2/p1Pp1P2/PP1P2P1/3N3P/5K2/8 b - - 1 32;53;57
1B1bb1k1/1p4pp/2p2p2/p1Pp1P2/PP1P2P1/3N3P/8/6K1 w - a6 0 31;-54;-38
1B1bb1k1/5pp1/p3p2p/1p1n4/1P1N4/P2BP3/2K2PPP/8 b - - 1 23;-48;-44
1B1bb1k1/5pp1/p3p2p/1p1n4/1P6/P2BPN2/2K2PPP/8 w - - 0 22;44;43
1B1bb1k1/6p1/1p1Npp1p/pP6/P2P4/4P2P/5PP1/6K1 b - - 3 31;-153;-156
1B1bb1k1/6p1/1p2pp1p/pP6/P2PN3/4P2P/5PP1/6K1 w - - 2 30;148;141
1B1bb1k1/6p1/pp2pp2/3p3p/3P1P1P/P3N1P1/1P1K4/8 w - - 8 43;-148;-150
1B1bb1k1/6pp/p1p2p2/1p1p4/PP6/1BP2P2/2P2PKP/8 b - - 1 29;122;128
1B1bb1k1/7p/2p2p2/1pNp2p1/pP1P2P1/P1P4P/4KP2/8 b - g3 0 38;5;5
1B1bb1k1/7p/2p2p2/1pNp2p1/pP1P4/P1P4P/4KPP1/8 w - - 0 37;0;0
1B1bb1k1/7p/2p2p2/ppNp2p1/1P1P4/P1P4P/4KPP1/8 b - - 1 37;0;0
1B1bb1k1/7p/2p2p2/ppNp2p1/1P1P4/P1P4P/5PP1/5K2 w - a6 0 36;0;0
1B1bb1k1/8/7p/6p1/3Pp1P1/4P3/7P/2R3K1 b - - 0 36;-368;-375
1B1bb1k1/p2q2pp/P1p2p2/2Pp4/1N1P4/1Q5P/5PP1/6K1 w - - 4 28;244;242
1B1bb1k1/p2q2pp/P1p2p2/2Pp4/3P4/1Q5P/2N2PP1/6K1 b - - 5 29;-268;-268
1B1bb1k1/p4pp1/4p2p/1p1n4/1P6/P2BPN2/2K2PPP/8 b - - 3 22;-37;-45
1B1bb1k1/p4ppp/1p2p3/1P6/2P5/P4P2/6PP/1B4K1 b - - 1 32;-206;-211
1B1bb1k1/p6p/2p2p2/1pNp2p1/1P1P4/P1P4P/5PP1/5K2 b - - 1 36;0;0
1B1bb1k1/pp3ppp/4pn2/1PP5/8/P1N5/4BPPP/6K1 b - - 2 25;-110;-121
1B1bb1k1/pp4pp/2p2p2/2Pp1P2/PP1P2P1/3N3P/8/6K1 b - - 3 31;52;58
1B1bb3/1p4k1/2p4p/p7/2N5/1P6/P4PPP/6K1 w - a6 0 34;184;188
1B1bb3/1p6/1p2kp2/3p2pp/3P4/P2N1P2/1P1K2PP/8 w - - 10 31;0;0
1B1bb3/1p6/1p2kp2/3p2pp/3P4/P2NKP2/1P4PP/8 b - - 11 32;8;4
1B1bb3/2N1kn1p/3p1p2/1p1P1P1B/1Pp1KP2/2P4P/8/8 b - - 38 63;-115;-105
1B1bb3/3k2p1/4p2p/pp6/3PB1P1/P1K4P/1P6/8 w - - 4 47;37;31
1B1bb3/3k2p1/p3p2p/1p6/3PB3/P2K3P/1P4P1/8 w - - 5 40;39;41
1B1bb3/3k3p/2p5/p1P2p2/3K2p1/1P4P1/P5BP/8 b - - 10 40;-32;-32
1B1bb3/3k3p/2p5/p1P2p2/6p1/1P1K2P1/P5BP/8 w - - 9 39;31;34
1B1bb3/4nk2/2p2p1p/1pPp2p1/pP1P2P1/P2BN2P/5P2/6K1 w - - 2 31;78;77
1B1bb3/7p/2p1k3/p1P2p2/6p1/1P1K2P1/P5BP/8 b - - 8 39;-17;-10
1B1bb3/7p/4nk2/1p1BNp2/1PpP4/2P1P1KP/8/8 b - - 0 46;-164;-170
1B1bb3/7p/4nk2/1p1pNp2/1PpP4/2P1PBKP/8/8 w - - 5 45;157;169
1B1bb3/7p/p1p1kpp1/1p1p4/3P4/1KPB1PP1/PP4P1/8 b - - 7 34;0;0
1B1bb3/7p/p1p1kpp1/1p1p4/3P4/2PB1PP1/PPK3P1/8 w - - 6 33;16;10
1B1bb3/8/2k3p1/2p3P1/2p1PKN1/1pP5/1P6/8 w - - 24 69;5;12
1B1bb3/8/p3kpp1/1p1p3p/1P1P1P1P/P1N1K1P1/8/8 b - - 0 46;52;64
1B1bb3/8/p3kpp1/1p1p3p/3P1P1P/PPN1K1P1/8/8 w - - 0 45;-64;-64
1B1bb3/8/pp2kpp1/3p3p/3P1P1P/PPN1K1P1/8/8 b - f3 0 45;69;66
1B1bb3/8/pp2kpp1/3p3p/3P3P/PPN1K1P1/5P2/8 w - - 0 44;-57;-55
1B1bb3/p3k1pp/Pp2pp2/1Pp5/2P5/4PP2/4B1PP/6K1 w - - 3 26;175;182
1B1bb3/p4kpp/Pp2pp2/1Pp5/2P5/4PP2/4B1PP/6K1 b - - 2 26;-174;-174
1B1bb3/p7/1p2kpp1/3p3p/3P3P/PPN1K1P1/5P2/8 b - - 6 44;48;56
1B1bb3/pp4k1/2p4p/8/2N5/1P6/P4PPP/6K1 b - - 3 34;-123;-117
1B1bbk1r/5p2/7p/3p2p1/3P4/5N2/5PPP/2R3K1 b - - 0 27;20;13
1B1bbk2/4n3/Pn1p4/pP1Pp1pp/4Pp2/N4P2/6PP/2RB2K1 b - - 2 34;-508;-548
1B1bbk2/8/3p4/P2Pp2p/2N1Pp1n/3B1P2/5K1P/8 b - - 0 38;-486;-492
1B1bbrk1/1p3ppp/2p1p3/1nP5/8/4PN2/4BPPP/1N3RK1 b - - 0 17;-246;-256
1B1bk1n1/1p1n1pp1/p1p1p1p1/2Pp2P1/1P1PP2r/1N5P/1P3P2/R3KB1R b KQ - 0 18;-34;-27
1B1bk1n1/1p1n1pp1/p1p1p1p1/2Pp2P1/1P1Pr3/1N5P/1P2BP2/R3K2R b KQ - 1 19;-17;-19
1B1bk1n1/1p1n1pp1/p1p1p1p1/2Pp2P1/1P1Pr3/1N5P/1P3P2/R3KB1R w KQ - 0 18;34;27
1B1bk1n1/5n2/p2p3p/Pp1PpNpP/1P2P1N1/8/5PK1/8 b - - 4 46;-93;-101
1B1bk1r1/1p4p1/p3pp1p/8/1P6/P7/5PPP/3R2K1 b - - 1 31;92;93
1B1bk1r1/1p6/p3pppp/8/1P6/P7/5PPP/3R2K1 w - - 0 31;-77;-71
1B1bk1r1/5pp1/4p2p/1p1pP2P/2qQ4/2P3R1/5PP1/6K1 w - - 10 31;0;6
1B1bk1r1/5pp1/4p2p/1p1pP2P/3Q4/1qP3R1/5PP1/6K1 b - - 9 31;6;6
1B1bk1r1/8/1pp2p1p/p3pBp1/4Pn2/2P2P2/PP3P1P/4R1K1 b - - 0 28;0;0
1B1bk1r1/8/1pp2p1p/p3pBp1/4Pn2/5P2/PPP2P1P/4R1K1 w - - 2 27;0;0
1B1bk1r1/N2b1p1r/4p3/Q2p4/4PP2/8/1PP3B1/4RRK1 b - - 0 28;74;77
1B1bk1r1/Q4pp1/2q1p2p/1p1pP2P/8/2P3R1/5PP1/6K1 w - - 12 32;0;0
1B1bk1r1/Q4pp1/4p2p/1p1pP2P/2q5/2P3R1/5PP1/6K1 b - - 11 32;0;0
1B1bk1r1/p3pp1p/Pp6/5b2/2r5/2P5/R3KPPP/4N2R b - - 1 22;205;205
1B1bk2n/1N4n1/2Pp4/3Pp2p/4Pp1P/5P1K/8/8 w - - 0 59;360;362
1B1bk2n/1Np3n1/2PN4/3Pp2p/4Pp1P/5P1K/8/8 b - - 0 59;-367;-374
1B1bk2n/6n1/2PN4/3Pp2p/4Pp1P/5P1K/8/8 b - - 0 60;-369;-372
1B1bk2r/1b1n1ppp/p3p3/N2pP3/Pp3P2/3P3P/1P2N1P1/2R2RK1 b k - 0 21;-513;-531
1B1bk2r/1p1R4/p1n1P1pp/2pN4/2B1p3/8/PPP3PP/6K1 b - - 0 24;-538;-544
1B1bk2r/3B1ppp/4p3/q7/3Pn3/4P2P/5PP1/1QR3K1 b k - 0 26;-287;-294
1B1bk2r/3b2pp/p1p1p3/5p2/n1P5/6P1/PP3PBP/R4RK1 w k - 1 19;291;285
1B1bk2r/3n1pp1/p3b2p/1p6/2p1P1PP/1P3B2/P1P5/1K4NR w k - 2 25;-69;-76
1B1bk2r/3n1ppp/1pq1p3/8/2P5/7P/PP2QPP1/RN4K1 w k - 2 17;103;109
1B1bk2r/3n1ppp/4p3/qB6/3Pn3/4P2P/5PP1/1QR3K1 w k - 7 25;285;273
1B1bk2r/3q2p1/1p2p3/8/1Pp1PPPp/1bP4P/4Q1B1/5RK1 b k - 1 28;-169;-167
1B1bk2r/3q2p1/4p3/1p2P3/1Pp2PPp/1bP4P/4Q1B1/5RK1 b k - 0 29;-157;-167
1B1bk2r/3q2p1/4p3/1p6/1Pp1PPPp/1bP4P/4Q1B1/5RK1 w k - 0 28;187;194
1B1bk2r/4rpp1/p6p/1pP5/4B3/4PP2/PP3P1P/2R1K2R w Kk - 1 17;771;780
1B1bk2r/5p2/2pp3p/p3p1n1/4P1P1/2N5/PPP4P/2K2R2 b k - 2 23;51;54
1B1bk2r/5pp1/3p1n1p/R7/1p2PPP1/8/1PP1B2P/1K5R b k - 0 22;-206;-213
1B1bk2r/5pp1/pn2b2p/1p6/2p1P1PP/1P3B2/P1P5/1K4NR b k - 1 25;77;71
1B1bk2r/5pp1/pn2b2p/1p6/2p1P1PP/1P6/P1P1B3/1K4NR w k - 0 24;-48;-52
1B1bk2r/5ppp/1pq1pn2/8/2P5/7P/PP2QPP1/RN4K1 b k - 1 17;-103;-89
1B1bk2r/5ppp/p3p3/3p4/PpnP4/1P2P3/4NPPP/2R3K1 b k - 0 24;-9;-2
1B1bk2r/5ppp/p3p3/n2p4/Pp1P4/1P2P3/4NPPP/2R3K1 w k - 1 24;6;0
1B1bk2r/7p/1pb1pp2/p5p1/1n2P3/2N3P1/PP3P1P/R4BK1 b k - 1 19;-2;-8
1B1bk2r/7p/1pb1pp2/p5p1/1n2P3/2N3P1/PP3PBP/R5K1 w k a6 0 18;66;58
1B1bk2r/8/1pp2p1p/p3pBp1/4Pn2/4RP2/PPP2P1P/6K1 w k a6 0 26;0;0
1B1bk2r/8/1pp2p1p/p3pBp1/4Pn2/5P2/PPP2P1P/4R1K1 b k - 1 27;0;0
1B1bk2r/Q7/2Bp1p1q/1P2pP2/2P5/6P1/R6P/n5K1 b - - 3 46;-3;-3
1B1bk2r/Q7/3p1p1q/1P2pP2/2P5/5BP1/R6P/n5K1 w - - 2 45;4;4
1B1bk2r/p4pp1/1n2b2p/1p6/2p1P1PP/1P6/P1P1B3/1K4NR b k - 0 24;45;44
1B1bk2r/p4ppp/1pb1p3/8/4P3/2Nn2P1/PP3PBP/1R4K1 b k - 3 17;-34;-34
1B1bk2r/p6p/1p2bp2/3p1np1/3P4/PN3B2/1P3PPP/2R3K1 b k - 1 22;-4;-10
1B1bk2r/p6p/1pb1pp2/6p1/1n2P3/2N3P1/PP3PBP/R5K1 b k - 1 18;-12;-27
1B1bk2r/p7/1pp1Bp1p/4p1p1/4Pn2/4RP2/PPP2P1P/6K1 w k - 4 25;0;0
1B1bk2r/p7/1pp1Bpnp/4p1p1/4P3/4RP2/PPP2P1P/6K1 b k - 3 25;0;0
1B1bk2r/p7/1pp2p1p/4pBp1/4Pn2/4RP2/PPP2P1P/6K1 b k - 5 26;6;16
1B1bk2r/pp4pp/4pp2/2p5/8/2P5/PPP2PPP/3R2K1 b k - 1 16;-2;-2
1B1bk2r/pp6/4b2n/1P1p1p2/P2P3p/3B1P1N/6PP/2R3K1 b - - 0 26;-253;-259
1B1bk2r/q2n1ppp/4p3/1B6/3Pn3/4P2P/5PP1/1QR3K1 b k - 6 25;-90;-86
1B1bk2r/r4pp1/p6p/1pP5/4B3/4PP2/PP3P1P/2R1K2R b Kk - 0 17;-734;-751
1B1bk3/1B1bn1p1/1p2p2p/1P3p2/1K1P4/2N2PP1/7P/8 b - - 11 46;-50;-51
1B1bk3/1B1bn1p1/1p2p2p/1P3p2/1K1P4/2N2PP1/7P/8 b - - 7 44;-50;-51
1B1bk3/1B1bn1p1/1p2p2p/1P3p2/2KP4/2N2PP1/7P/8 w - - 6 43;60;67
1B1bk3/1B1bn1p1/1p2p2p/1P3p2/3P4/2NK1PP1/7P/8 b - - 3 42;-51;-57
1B1bk3/1Npb4/p1p4p/4P1p1/1P1K4/P5P1/7P/8 w - - 5 41;71;65
1B1bk3/1Npb4/p1p4p/4P1p1/1P2K3/P5P1/7P/8 b - - 6 42;-57;-54
1B1bk3/1b1n1p2/4p3/r7/4P3/3N1P2/1PR3PP/6K1 w - - 5 33;-101;-105
1B1bk3/1b3p1p/1N1p2p1/1n1Pp3/4P3/7P/1PN2PP1/4K3 w - - 9 33;84;84
1B1bk3/1b3p1p/3p2p1/1n1Pp3/2N1P3/7P/1PN2PP1/4K3 b - - 10 34;-77;-77
1B1bk3/1b3p2/1n2p3/r7/4P3/3N1P2/1PR3PP/6K1 b - - 4 33;126;123
1B1bk3/1b3ppp/p1p1p3/2P3P1/1P3P2/5B2/P4K1P/8 w - - 4 40;110;117
1B1bk3/1b4r1/p3BpnR/1p1N2p1/2pP2P1/P3PP2/1P6/1K6 b - - 0 42;-191;-182
1B1bk3/1b4r1/p3BpnR/1p1p2p1/2pP2P1/P1N1PP2/1P6/1K6 w - - 11 41;226;225
1B1bk3/1b5p/1p4p1/2pP1p2/2Pp4/1P4P1/P4PBP/6K1 b - - 2 31;-117;-123
1B1bk3/1b5p/2p3p1/2PpNp2/P2P1PP1/7P/5K2/8 b - - 8 40;-94;-101
1B1bk3/1p2n2p/p3p3/2P1Npp1/1P6/3K4/1P3PPP/8 w - - 6 32;0;0
1B1bk3/1p2n2p/p3p3/2P1Npp1/1PK5/8/1P3PPP/8 b - - 7 33;0;0
1B1bk3/1p3ppp/2p1p1b1/p1P5/1P6/P7/5PPP/3B2K1 w - a6 0 27;-95;-86
1B1bk3/1p5p/p1n1p3/1PP1Npp1/2K5/8/1P3PPP/8 b - - 0 34;337;334
1B1bk3/1p5p/p1n1p3/2P1Npp1/1PK5/8/1P3PPP/8 w - - 8 33;-9;-7
1B1bk3/1p6/p2R3p/1r3P2/6K1/7P/8/8 b - - 4 57;81;76
1B1bk3/1p6/p2R4/1r3P1p/5K2/7P/8/8 b - - 1 58;79;86
1B1bk3/1p6/p2R4/1r3P1p/6K1/7P/8/8 w - - 0 57;-97;-101
1B1bk3/1p6/p6p/1r3P2/6K1/7P/3R4/8 w - - 3 56;-91;-67
1B1bk3/1r6/1pp2p1p/p3pBp1/4Pn2/2P2P2/PP3P1P/3R2K1 w - - 3 29;0;0
1B1bk3/2p3p1/5p1p/2N5/2bP2P1/2P2P2/7P/6K1 b - g3 0 37;-52;-51
1B1bk3/2p3p1/5p1p/2N5/2bP4/2P2P2/6PP/6K1 w - - 8 36;55;59
1B1bk3/2p3p1/b4p1p/2N5/3P4/2P2P2/6PP/6K1 b - - 7 36;-59;-60
1B1bk3/2p3p1/b4p1p/8/N2P4/2P2P2/6PP/6K1 w - - 6 35;58;60
1B1bk3/2p3pp/1p1p4/3P1p2/2P2K2/6PP/P4P2/8 b - - 7 31;239;242
1B1bk3/2p3pp/1p1p4/3P1p2/2P5/5KPP/P4P2/8 w - - 6 30;-243;-236
1B1bk3/2p4p/1p1p2p1/3P1p2/2P2K2/6PP/P4P2/8 w - - 0 31;-188;-187
1B1bk3/2p4p/1p1p2p1/3P1p2/P1P2K2/6PP/5P2/8 b - a3 0 32;287;294
1B1bk3/2p5/2Pp4/1N1Pp1pp/4Pp2/5P2/8/4K3 w - - 0 77;814;820
1B1bk3/2p5/3p4/1P1Pp3/4P1K1/8/8/8 b - - 18 59;-46;-46
1B1bk3/2p5/p2p4/3P3p/pPP1PK2/P7/8/8 b - - 0 41;119;131
1B1bk3/2p5/p2p4/3P3p/pPP1Pp2/P5K1/8/8 w - - 0 40;-122;-126
1B1bk3/2p5/p2p4/3Pp2p/pPP1P3/P5K1/5P2/8 w - - 2 39;0;0
1B1bk3/2p5/p2p4/3Pp2p/pPP1PP2/P5K1/8/8 b - f3 0 40;108;143
1B1bk3/3P2pp/2p1p1n1/1pP5/5r2/1P5P/P4PP1/3R2K1 b - - 0 25;-79;-77
1B1bk3/3b3p/4p3/1pKpPp2/1P3P2/2P2N1P/8/8 w - - 13 54;16;51
1B1bk3/3b3p/4p3/1pKpPp2/1P3P2/2P2N1P/8/8 w - - 17 56;16;58
1B1bk3/3b3p/B1p1p1p1/p1P1K1P1/P4P2/1P6/8/8 b - - 12 54;-144;-144
1B1bk3/3b4/5p2/3P2pp/4P2P/2P2P2/4NK2/8 b - - 0 44;-158;-152
1B1bk3/3bn1p1/1pB1p2p/1P3p2/1K1P4/2N2PP1/7P/8 w - - 10 45;44;45
1B1bk3/3bn1p1/1pB1p2p/1P3p2/3P4/2NK1PP1/7P/8 w - - 2 41;56;58
1B1bk3/3n1pp1/pp2p2p/8/B7/P1P3P1/1P3P1P/6K1 w - - 0 35;18;20
1B1bk3/3n1pp1/ppB1p2p/8/8/P1P3P1/1P3P1P/6K1 b - - 1 36;-28;-22
1B1bk3/3n1ppp/1pB1p3/p7/1PP5/P7/5PPP/5K2 w - a6 0 32;53;59
1B1bk3/3q3p/p3p1p1/2Q2p2/p2P4/4PP2/P4PKP/8 w - - 0 29;53;59
1B1bk3/3q3p/p3p1p1/4Qp2/p2P4/4PP2/P4PKP/8 b - - 1 30;-34;-38
1B1bk3/3q4/2b1p3/2Pp1ppp/1Q1P4/3BPPPP/1K6/8 w - - 3 47;155;161
1B1bk3/3q4/2b1p3/2Pp1ppp/1Q1P4/K2BPPPP/8/8 b - - 4 48;-143;-144
1B1bk3/3r3p/1p1R1pp1/p1pK4/P1P2PP1/1P5P/8/8 w - - 8 37;143;134
1B1bk3/3r3p/1pKR1pp1/p1p5/P1P2PP1/1P5P/8/8 b - - 9 38;-136;-148
1B1bk3/4r2p/1pK2pp1/p1p5/P1P2PP1/1P1R3P/8/8 b - - 11 39;-143;-142
1B1bk3/4r2p/1pK3p1/p1p2P2/P1P2P2/1P1R3P/8/8 b - - 0 40;-123;-138
1B1bk3/4r2p/1pK3p1/p1p2p2/P1P2PP1/1P1R3P/8/8 w - - 0 39;132;136
1B1bk3/4r2p/1pK5/p1p2p2/P1P2P2/1P1R3P/8/8 w - - 0 40;126;124
1B1bk3/4r2p/1pKR1pp1/p1p5/P1P2PP1/1P5P/8/8 w - - 10 38;143;143
1B1bk3/4rpp1/R1P3p1/3p4/3P4/7P/5PP1/6K1 b - - 0 36;-56;-60
1B1bk3/4rpp1/p1P3p1/3p4/R2P4/7P/5PP1/6K1 w - - 1 35;175;175
1B1bk3/5p1p/3P2p1/p7/5P2/4P3/P4KPP/8 b - - 0 37;-153;-159
1B1bk3/5p1p/6p1/p2P4/P3P3/3K1P2/6PP/8 b - - 2 31;-377;-383
1B1bk3/5p1p/6p1/p2P4/P3P3/5P2/4K1PP/8 w - - 1 30;355;364
1B1bk3/5p1p/8/p2P2p1/2K1Pp2/5P2/P5PP/8 w - - 3 31;293;331
1B1bk3/5p1p/8/p2PP1p1/2K2p2/5P2/P5PP/8 b - - 0 32;-301;-303
1B1bk3/5p2/1n4pp/1p1p4/3P4/3KN3/P4PPP/8 b - - 3 34;-23;-20
1B1bk3/5p2/2p1b1p1/3p4/1PpP1Q2/2P5/2BK1PP1/q7 w - - 12 36;0;0
1B1bk3/5pp1/7p/2r5/PR6/5P2/5P1P/5K2 w - - 3 36;50;44
1B1bk3/5ppp/N3p3/8/1P6/n7/5PPP/6K1 b - - 0 34;59;60
1B1bk3/5ppp/p3p3/1nN5/1P6/P7/5PPP/6K1 b - - 2 33;66;63
1B1bk3/5ppp/p3p3/2N5/1P6/n7/5PPP/6K1 w - - 0 33;-50;-56
1B1bk3/6p1/1p2pp2/p6p/8/P5P1/1P2bP1P/2R3K1 w - a6 0 29;103;105
1B1bk3/6p1/ppP1n1P1/3p4/8/5N2/P7/3K4 w - - 0 40;-75;-76
1B1bk3/6pp/2pPp1n1/1pP5/5r2/1P5P/P4PP1/3R2K1 w - - 1 24;81;85
1B1bk3/6r1/1pp2p1p/p3pBp1/4Pn2/2P2P2/PP3P1P/3R2K1 b - - 2 29;0;0
1B1bk3/6r1/1pp2p1p/p3pBp1/4Pn2/2P2P2/PP3P1P/4R1K1 w - - 1 28;0;0
1B1bk3/6r1/p3BpnR/1p1b2p1/2pP2P1/P3PP2/1P6/1K6 w - - 0 42;302;291
1B1bk3/6r1/p4pnR/1p1B2p1/2pP2P1/P3PP2/1P6/1K6 b - - 0 43;-291;-296
1B1bk3/6rp/1p1R1pp1/p1p5/P1P1KPP1/1P5P/8/8 w - - 6 36;143;143
1B1bk3/6rp/1p1R1pp1/p1pK4/P1P2PP1/1P5P/8/8 b - - 7 37;-144;-144
1B1bk3/7p/p1p5/p1P2Pp1/2K3P1/7P/8/8 w - - 0 45;74;68
1B1bk3/7p/p5p1/1bPP1p2/1P6/5N2/6PP/4K3 w - - 3 34;164;175
1B1bk3/8/1p6/p1pP2pp/P1P2p2/1P3P1K/8/8 b - - 7 57;56;62
1B1bk3/8/2N5/pK3ppp/3Pn3/1P2P3/P5PP/8 w - - 6 43;459;455
1B1bk3/8/2p2p1p/2Pp1P2/N2P3p/8/6P1/6K1 b - - 0 41;-366;-368
1B1bk3/8/2p2p1p/2Pp1P2/p2P3p/2N5/6P1/6K1 w - - 0 40;333;333
1B1bk3/8/2p2p1p/2Pp1Pp1/p2P3P/2N5/6P1/6K1 b - - 2 40;-259;-254
1B1bk3/8/2p2p1p/2Pp1Pp1/p2P3P/8/4N1P1/6K1 w - - 1 39;283;291
1B1bk3/8/3P1p2/5K2/8/3P2P1/P7/8 w - - 1 40;5199;5199
1B1bk3/8/3PK3/5p2/8/3P2P1/P7/8 w - - 0 41;5003;5335
1B1bk3/8/3PKp2/8/8/3P2P1/P7/8 b - - 2 41;-5203;-5211
1B1bk3/8/4K3/3P4/2N5/8/8/8 b - - 10 59;-3972;-3984
1B1bk3/8/4p3/1P2p2R/4Pp2/1K3P2/7P/5r2 w - - 3 55;177;171
1B1bk3/8/4p3/1P2p2R/4Pp2/1K3P2/7P/r7 b - - 2 55;-174;-158
1B1bk3/8/4p3/1P2p3/1K2Pp2/5P1R/7P/2r5 b - - 8 58;-167;-178
1B1bk3/8/4p3/1P2p3/2K1Pp2/5P1R/7P/1r6 b - - 6 57;-179;-184
1B1bk3/8/4p3/1P2p3/2K1Pp2/5P1R/7P/2r5 w - - 7 57;167;192
1B1bk3/8/4p3/1P2p3/4Pp2/1K3P1R/7P/1r6 w - - 5 56;174;169
1B1bk3/8/4p3/1P2p3/4Pp2/1K3P1R/7P/5r2 b - - 4 56;-176;-170
1B1bk3/8/8/8/pPn2KP1/P2R4/8/8 w - - 5 49;745;787
1B1bk3/8/pp2r1p1/2p1R3/2P2PK1/7P/PP6/8 b - - 1 47;-155;-158
1B1bk3/8/pp2r1p1/2pR4/2P2PK1/7P/PP6/8 w - - 0 46;163;158
1B1bk3/N4p2/4b3/2Pp4/3Pp1pp/4P3/2K2PPP/8 b - - 6 43;-149;-162
1B1bk3/N4p2/4b3/2Pp4/3Pp1pp/4P3/5PPP/3K4 w - - 5 42;132;155
1B1bk3/N6p/2P1p1p1/rP1n1p2/p7/P5P1/5P1P/2R3K1 b - - 0 40;-170;-167
1B1bk3/N6p/4p1p1/rPPn1p2/p7/P5P1/5P1P/2R3K1 w - - 3 39;267;273
1B1bk3/R2r1p1p/1p2p1p1/p7/P1KP4/8/1P3PPP/8 b - - 3 34;-22;-25
1B1bk3/R4p2/2r4p/1p1p2p1/1P1P4/2PK2P1/7P/8 b - - 1 38;-39;-43
1B1bk3/R4p2/2r4p/1p1p4/1P1P2p1/2PK2P1/7P/8 w - - 0 38;44;43
1B1bk3/p2b1pp1/P6p/1p1N4/4p3/6P1/1P2PP1P/6K1 w - - 8 31;64;58
1B1bk3/p2n1pp1/1p2p2p/8/B7/P1P3P1/1P3P1P/6K1 b - - 5 35;-17;-10
1B1bk3/p2n1ppp/1pB1p3/8/1PP5/P7/5PPP/5K2 b - - 8 32;-66;-61
1B1bk3/p2q3p/4p1p1/2Q2p2/p2P4/4PP2/P4PKP/8 b - - 5 29;-35;-41
1B1bk3/p2q3p/4p1p1/5p2/p1QP4/4PP2/P4PKP/8 w - - 4 28;49;52
1B1bk3/p4pp1/1p2p2p/1P6/3P4/P5P1/5P1P/6K1 w - - 4 29;18;13
1B1bk3/p4ppp/1p6/1P1p1P2/3P4/3K2P1/7P/8 w - - 1 38;-61;-67
1B1bk3/p4ppp/1pR1p3/3r4/8/P3P2P/1PK2PP1/8 w - - 11 32;55;60
1B1bk3/p4ppp/4p3/2Nn4/1PK5/8/5PPP/8 b - - 5 37;83;81
1B1bk3/p5p1/1p2pp2/7p/8/P5P1/1P2bP1P/2R3K1 b - - 2 29;-106;-110
1B1bk3/p5p1/1pK2p1p/1P2pP1P/P3P1P1/8/8/8 b - - 2 71;-1501;-1136
1B1bk3/p5p1/1pP1n1P1/3p4/8/5N2/P7/3K4 b - - 0 40;82;88
1B1bk3/p5p1/1pP1n3/3p2P1/8/5N2/P7/3K4 w - - 4 39;-95;-86
1B1bk3/p5pp/1p1Rpp2/8/bPr5/P4P2/4N1PP/6K1 b - - 1 27;190;193
1B1bk3/p5pp/1p2pp2/1P6/2P5/6P1/P4P1P/6K1 b - - 2 30;-98;-108
1B1bk3/p5pp/1p2pp2/8/bPr5/P4P2/4N1PP/3R2K1 w - - 0 26;-153;-145
1B1bk3/p6K/2n5/5p2/8/8/PP6/8 w - - 1 39;-467;-482
1B1bk3/p6K/8/5p2/3n4/8/PP6/8 b - - 0 39;453;472
1B1bk3/p6R/6K1/5p2/3n3r/8/PP6/8 b - - 1 38;670;678
1B1bk3/p6R/8/5p1K/3n3r/8/PP6/8 w - - 0 37;-696;-720
1B1bk3/p6R/8/5p1K/3nr2P/8/PP6/8 b - - 8 37;739;753
1B1bk3/p6R/8/5pK1/3nr2P/8/PP6/8 w - - 7 36;-643;-648
1B1bk3/p6p/2p5/p1P2Pp1/2K3P1/7P/8/8 b - - 2 45;-58;-65
1B1bk3/p6p/Pp2p1p1/3pP3/8/8/5KPP/8 w - - 2 41;-379;-398
1B1bk3/p6r/6K1/5p2/3n4/8/PP6/8 w - - 0 38;-469;-473
1B1bk3/p7/1p2P1p1/1P1K1p2/5P2/7P/8/8 w - - 2 58;379;392
1B1bk3/p7/1p2r1p1/2pR4/2P2PK1/7P/PP6/8 b - - 8 46;-149;-155
1B1bk3/p7/B3b3/2Pp2p1/3Pp3/4P1P1/P4P2/6K1 b - - 5 40;-354;-356
1B1bk3/p7/p3pp2/6pp/1KNP4/P3P3/1P3PbP/8 b - - 3 28;40;38
1B1bk3/pb6/1p1R4/1P1p1p2/P2K1Pp1/8/6P1/8 w - - 12 44;524;530
1B1bk3/pb6/1p5R/1P1p1p2/P2K1Pp1/8/6P1/8 b - - 13 45;-408;-416
1B1bk3/pp3pp1/6bp/8/2N3P1/2P4P/PP2KP2/8 b - - 8 33;-118;-110
1B1bk3/pp3ppp/2p1p1b1/2P5/1P6/P7/5PPP/3B2K1 b - - 2 27;84;85
1B1bk3/pq3rpp/bpp2n2/8/3PP3/6PB/PPQ2P1P/2RR2K1 b - - 0 20;-498;-504
1B1bk3/r4pp1/p1P3p1/3p4/R2P4/7P/5PP1/6K1 b - - 0 35;-181;-190
1B1bkn1r/1p1b2p1/4p3/qp1pPp1p/1Q1P1P1P/P2B1N2/4N1P1/4K2R b Kk - 0 23;-139;-137
1B1bkn2/7p/Bpb1p3/p2pPpPP/P2P4/1P2KN2/8/8 b - - 8 38;-95;-101
1B1bn1k1/1b3pp1/1p2p2p/p7/2P5/3N4/PPB2PPP/6K1 w - a6 0 26;20;23
