FEN;d19;d20
1B1N1rk1/8/4R1p1/p7/r7/2n4P/2P3PK/8 w - - 14 51;-14;-20
1B1N1rk1/r3p2p/5bp1/pq1P4/4Q3/7P/1P3PP1/3RR1K1 b - - 0 28;-286;-275
1B1N2k1/1p2R3/p7/1b3pp1/3P4/1Pr2P2/P4KP1/2b5 b - - 5 36;165;171
1B1N2k1/1p6/p7/1b3pp1/3P4/1Pr2P2/P3RKP1/2b5 w - - 4 35;-144;-133
1B1N2k1/2n1p1bp/2p2p2/P4p2/1r6/8/6PP/R5K1 w - - 2 31;434;447
1B1N2k1/2n1p1bp/2p2p2/P4p2/5r2/8/6PP/R5K1 b - - 1 31;-430;-440
1B1N2k1/3P1pp1/p3n2p/2p5/B1P1P3/7P/4rPP1/3R2K1 b - - 0 34;-1312;-1325
1B1N2k1/4pp2/pp3b1p/2p5/P7/2P3Pb/1P3P2/6K1 w - - 0 32;-54;-50
1B1N2k1/6n1/2p2p1p/3p2p1/3P4/7P/7K/8 w - - 2 45;108;104
1B1N2k1/6n1/pp3b1p/5pp1/1P6/P2NPP1P/5K2/8 b - - 0 38;-15;-7
1B1N2k1/8/4R1p1/p4r2/r7/2n4P/2P3PK/8 b - - 13 51;83;60
1B1N2k1/8/6p1/p3Rr2/r7/2n4P/2P3PK/8 w - - 12 50;-100;-88
1B1N2k1/p3pp2/1p3b1p/2p5/P7/2P3Pb/1P3P2/6K1 b - - 1 32;55;48
1B1N2k1/p4rpp/1pQ3n1/5p2/PPqP4/6P1/5P1P/1n2R1K1 b - - 0 31;-222;-223
1B1N2k1/p4rpp/1pq3n1/5p2/PP1P4/6P1/5P1P/1n2R1K1 w - - 0 31;216;207
1B1N2k1/p4rpp/1pr3n1/5p2/PPqP4/2n2QP1/5P1P/1R2R1K1 b - - 2 30;-184;-191
1B1N2k1/p4rpp/1pr3n1/5p2/PPqP4/5QP1/5P1P/1n2R1K1 w - - 0 30;190;197
1B1N2k1/p7/1p3n2/1Kp5/2P5/8/PP4b1/8 b - - 1 38;-182;-187
1B1N2k1/p7/1p6/1Kp5/2P1n3/8/PP4b1/8 w - - 2 38;167;173
1B1N2r1/4p1b1/p5pk/1p1R1p1p/5N1P/3B2P1/PPP2P2/6K1 w - - 3 27;1375;1389
1B1N4/1p3k2/p7/1b3pp1/3P4/1Pr2P2/P3RKP1/2b5 b - - 3 35;139;150
1B1N4/3N1pkn/r3p3/p1b3n1/2P2KP1/P2R4/8/8 b - - 5 36;-49;-36
1B1N4/3Nbpkn/r3p3/p5n1/2P2KP1/P2R4/8/8 w - - 6 36;44;37
1B1N4/3k1np1/7p/5p2/1PP5/5P2/5PK1/8 b - - 0 38;-129;-128
1B1N4/3r4/1p2k1p1/p1p5/2n2P2/8/P6P/1R4K1 b - - 0 37;202;212
1B1N4/4kp2/1P4p1/p1p5/8/5K2/r6P/8 w - - 1 40;24;17
1B1N4/5Qbk/6p1/7p/8/5P1P/P1P2P2/2K5 w - - 1 37;2;2
1B1N4/5k2/6p1/p3Rr2/r7/2n4P/2P3PK/8 b - - 11 50;79;85
1B1N4/5p2/1P3kp1/p1p5/8/5K2/r6P/8 b - - 0 40;-46;-36
1B1N4/5p2/4k1p1/pPp5/8/5K2/r6P/8 b - - 1 39;355;355
1B1N4/5p2/5kp1/pPp5/8/5K2/r6P/8 w - - 2 39;50;41
1B1N4/5pkn/r3p3/p1b1N1n1/2P2KP1/P2R4/8/8 w - - 4 35;42;46
1B1N4/6k1/8/5ppp/6n1/5K2/8/8 w - h6 0 44;-12;-10
1B1N4/6kp/8/5pp1/6n1/5K2/8/8 b - - 1 44;12;8
1B1N4/6pk/1p3p2/p1pb3p/8/1NP5/PP3PP1/6K1 w - a6 0 27;573;583
1B1N4/7p/1p4k1/2pn1p2/P4P2/1Pb2K2/7P/8 w - - 0 45;0;0
1B1N4/7p/1pp3k1/3n1p2/P4P2/1Pb2K2/7P/8 b - - 2 45;0;0
1B1N4/8/8/8/4k3/7p/8/6K1 b - - 0 77;-3968;-3968
1B1N4/p2qrp1k/2p3bb/2Pp3p/B2Pp1pP/2Q1P3/P4PP1/1R4K1 b - - 0 34;-327;-342
1B1N4/p2qrp1k/2p3bb/2Pp3p/B2Pp1pP/2n1P3/P4PP1/1R2Q1K1 w - - 2 33;326;334
1B1N4/p3k3/1p3p2/1r4p1/8/P4B2/K7/8 b - - 0 56;196;184
1B1N4/p3rp1k/2p1q1bb/1nPp3p/B2Pp1pP/2N1P3/P3QPP1/1R4K1 b - - 0 32;-315;-282
1B1N4/p3rp1k/2p1q1bb/2Pp3p/B2Pp1pP/2n1P3/P3QPP1/1R4K1 w - - 0 32;296;303
1B1N4/p3rp1k/2p1q1bb/2Pp3p/B2Pp1pP/2n1P3/P4PP1/1R2Q1K1 b - - 1 33;-342;-305
1B1N4/p4k1p/5pp1/2p5/4n3/PP5P/5PP1/2b2K2 b - - 2 42;50;56
1B1N4/p5k1/1r2bp1p/2p1p1p1/2Pb4/PP1R1PP1/4K2P/8 b - - 8 36;405;424
1B1N4/p5k1/1r3p1p/2p1pbp1/2Pb4/PP1R1PP1/4K2P/8 w - - 9 36;-415;-427
1B1N4/p5pk/1p3p2/2pb3p/8/1NP5/PP3PP1/6K1 b - - 1 27;-566;-587
1B1N4/p7/1p6/2p2k2/2b3n1/8/1P5P/6K1 b - - 1 35;41;47
1B1N4/pB2k3/1p3p2/1r4p1/8/P4b2/K7/8 w - - 2 55;-196;-190
1B1N4/pB3k2/1p3p2/1r4p1/8/P4b2/K7/8 b - - 1 55;184;191
1B1NR3/3n1ppk/4p2p/8/8/r5P1/4nPKP/8 w - - 2 33;37;29
1B1NR3/5ppk/4p2p/4n3/8/r5P1/4nPKP/8 b - - 1 33;-11;-10
1B1NR3/p4p1k/n5p1/2pp4/6Pq/7P/PP6/5BK1 b - - 0 34;308;309
1B1Nk2r/p4ppp/2p5/P4P2/2Bb4/5P2/2K3PP/7r w - - 6 27;-344;-344
1B1Nk3/1Bp5/2p2p1p/3bp1p1/8/1P3P2/P5PP/2b2K2 b - - 0 35;87;81
1B1Nk3/3nb2p/5nr1/8/8/2Q2P2/1P4PP/3R1bK1 b - - 0 28;-664;-685
1B1Nk3/3nb2p/5nr1/8/8/2Q2P2/1P4bP/3R2K1 w - - 0 28;629;628
1B1Nk3/8/7p/p1PP2p1/8/2b4P/Pn4BK/8 b - - 0 30;-506;-545
1B1Nk3/8/8/pK3ppp/3Pn3/1P2P3/P5PP/8 b - - 0 44;-465;-478
1B1Nk3/p6p/5pp1/2p5/4n3/PP5P/5PP1/2b2K2 w - - 3 42;-51;-58
1B1Nkb2/1b2p2p/1p3pp1/3p4/1PnP2P1/4PP1P/4BK2/8 w - - 6 37;186;202
1B1Nn1k1/8/2p2p1p/3p2p1/3P4/7P/7K/8 b - - 1 45;-100;-102
1B1Nn3/6k1/6p1/1p1p2Pp/1P1P1K2/5P2/8/3b4 b - - 5 45;0;0
1B1Nn3/p3r1k1/2P2p2/3B2pp/2K5/6P1/1P6/8 w - h6 0 39;387;401
1B1Nn3/p3r1kp/2P2p2/3B2p1/2K5/6P1/1P6/8 b - - 1 39;-325;-317
1B1Nnk2/8/6p1/1p1p2Pp/1P1P1K2/5P2/8/3b4 w - - 6 45;0;0
1B1Nr1k1/p4pp1/7p/2p5/3nn3/1P1b3P/P4PP1/R4RK1 b - - 0 24;361;377
1B1Nr3/p2r3k/1p2p1pb/3p3p/5P2/P1P5/1P2R1PP/4R1K1 b - - 0 42;-50;-56
1B1Q1R2/1p1kp2r/6p1/1pq3P1/1r1pp1bP/3n4/8/K6R b - - 3 44;1264;1286
1B1Q1R2/1p2p2r/4k1p1/1pq3P1/1r1pp1bP/3n4/8/K6R w - - 4 44;-1380;-1417
1B1Q1b2/5k2/4q1p1/4P2p/8/7P/6PK/8 w - - 12 43;98;105
1B1Q1b2/5kp1/4qpn1/2p5/2P4p/4N2P/5PP1/6K1 b - - 3 34;-26;-12
1B1Q1b2/5kp1/4qpn1/2p5/2P4p/4N2P/5PPK/8 w - - 2 33;32;25
1B1Q1b2/5kp1/5pn1/2p5/2P1q2p/4N2P/5PP1/5K2 b - - 5 35;-6;-5
1B1Q1b2/5kp1/5pn1/2p5/2P1q2p/4N2P/5PP1/6K1 w - - 4 34;26;32
1B1Q1b2/5pkp/3p2p1/3bp1P1/P6P/2P5/2PK4/8 b - - 9 41;-1334;-1477
1B1Q1b2/6pk/p3p2p/5p1P/8/8/qP3PPK/8 b - - 1 31;0;0
1B1Q1bk1/4p2p/5pp1/p7/8/5q2/1PP4P/1K1N4 w - - 0 30;143;143
1B1Q1bk1/4pp1p/6p1/p7/8/5q2/1PP4P/1K1N4 b - - 3 30;-151;-146
1B1Q1bk1/4pp1p/p1r3p1/1pr1PP2/8/1P5P/P5PK/8 w - - 3 32;-85;-80
1B1Q1bk1/4q3/6pp/3P1p2/4p3/4P2P/5PPK/8 w - - 15 48;353;359
1B1Q1bk1/5p1n/2p5/4p1P1/2P1P1K1/5P2/P6q/8 b - - 1 35;1170;1236
1B1Q1bk1/5p1n/2p5/4p1P1/2P1P2K/5P2/P6q/8 w - - 0 34;-1208;-1399
1B1Q1bk1/5p1n/2p5/4p1P1/2P1P2K/5P2/Pq5P/8 b - - 0 34;1197;1317
1B1Q1bk1/5p1n/2p5/4p1P1/2P1P2p/5PK1/Pq5P/8 w - - 0 33;-779;-815
1B1Q1bk1/5p1n/2p5/4p1P1/2P1Pq2/5P1K/P7/8 b - - 3 36;1237;1294
1B1Q1bk1/5p1n/2p5/4p1P1/2P1PqK1/5P2/P7/8 w - - 2 35;-1212;-1329
1B1Q1bk1/5p1n/2p5/4p1Pp/2P1P3/5P2/PP4KP/2q5 b - - 2 32;556;565
1B1Q1bk1/5p1n/2p5/4p1Pp/2P1P3/5P2/Pq4KP/8 w - - 0 32;-561;-571
1B1Q1bk1/5p1n/2p5/4p1Pp/2P1P3/5PK1/Pq5P/8 b - - 1 33;756;762
1B1Q1bk1/5p1p/1N2p1p1/8/3p4/P2P2P1/5P1P/r4bK1 w - - 2 39;1032;1094
1B1Q1bk1/5p1p/3pp1P1/6Pn/4r3/q1P5/2PKN3/7R b - - 0 29;392;422
1B1Q1bk1/5p1p/3pp1p1/5PPn/2r1P3/2P5/q1P1N3/2K4R b - - 3 27;301;304
1B1Q1bk1/5p1p/3pp1p1/5PPn/2r1P3/q1P5/2P1N3/2K4R w - - 4 27;-334;-343
1B1Q1bk1/5p1p/3pp1p1/5PPn/2r1P3/q1P5/2PKN3/7R b - - 5 28;308;327
1B1Q1bk1/5p1p/3pp1p1/5PPn/4r3/q1P5/2PKN3/7R w - - 0 28;-330;-340
1B1Q1bk1/5p2/2p5/4p1n1/2P1P3/5q2/P5K1/8 w - - 0 37;-3988;-3988
1B1Q1bk1/5p2/2p5/4p1n1/2P1Pq2/5P1K/P7/8 w - - 0 36;-1182;-1565
1B1Q1bk1/5p2/2p5/4p1n1/2P1Pq2/5P2/P5K1/8 b - - 1 37;4751;4751
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N1r2/2P5/2PK4/1R6 b - - 5 32;1084;1098
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N1r2/2P5/2PK4/5R2 w - - 4 31;-253;-250
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N4/1RP5/2P4r/4K3 b - - 9 34;5015;13
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N4/2P5/2P2r2/1R2K3 b - - 7 33;1052;1074
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N4/2P5/2P4r/1R2K3 w - - 8 33;-1074;-1081
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3N4/2P5/2PK1r2/1R6 w - - 6 32;-1067;-1079
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3Nr3/2P5/2PK4/5R2 b - - 3 31;498;520
1B1Q1bk1/5p2/3pp1p1/2q3Pn/3Nr3/2P5/2PK4/7R w - - 2 30;-474;-475
1B1Q1bk1/5p2/3pp1p1/4q1Pn/3N4/1RP5/2P4r/3K4 b - - 11 35;5412;5412
1B1Q1bk1/5p2/3pp1p1/4q1Pn/3N4/1RP5/2P4r/4K3 w - - 10 34;-5704;-5500
1B1Q1bk1/5p2/3pp1p1/6P1/5q2/1RP2Nn1/2P1K3/7r w - - 16 37;-3;-3
1B1Q1bk1/5p2/3pp1p1/6Pn/3N1q2/1RP5/2P4r/3K4 w - - 12 35;-1664;-1677
1B1Q1bk1/5p2/3pp1p1/6Pn/3Nr3/q1P5/2PK4/7R b - - 1 30;470;482
1B1Q1bk1/5p2/3pp1p1/6Pn/4r3/q1P5/2PKN3/7R w - - 0 29;-411;-420
1B1Q1bk1/5p2/3pp1p1/6Pn/5q2/1RP2N2/2P1K3/7r b - - 15 37;4;4
1B1Q1bk1/5p2/3pp1p1/6Pn/5q2/1RP2N2/2P4r/3K4 b - - 13 36;7;7
1B1Q1bk1/5p2/3pp1p1/6Pn/5q2/1RP2N2/2P5/3K3r w - - 14 36;-6;-6
1B1Q1bk1/5q2/6pp/3P1p2/4p3/4P2P/5PPK/8 b - - 14 48;-350;-356
1B1Q1bk1/6p1/4qpn1/2p5/2P4p/4N2P/5PPK/8 b - - 1 33;-24;-24
1B1Q1bk1/7p/p2p2p1/3Pp2n/2R1Pp2/Pq3P2/1P3NPP/1K6 b - - 0 28;-3179;-10
1B1Q1bk1/7p/p2p2p1/3Pp2n/2b1Pp2/Pq3P2/1P3NPP/1KR5 w - - 3 27;733;744
1B1Q1bk1/7p/p2p2p1/3Pp2n/2q1Pp2/P4P2/1P3NPP/1K6 w - - 0 28;9;9
1B1Q1bk1/8/4q1p1/4P2p/8/7P/6PK/8 b - - 11 43;-75;-63
1B1Q1bk1/p4pp1/1p2p2p/8/2P1q3/1P4P1/P4P1P/6K1 w - - 2 28;0;0
1B1Q1bk1/p4pp1/1p2q3/2p5/4P3/6P1/r4P1P/2R3K1 b - - 2 32;181;194
1B1Q1bk1/p4pp1/1p3q2/2p5/4P3/6P1/r4P1P/2R3K1 w - - 3 32;-182;-190
1B1Q1bk1/p4pp1/1p3q2/2p5/4P3/6P1/r4P1P/5RK1 b - - 4 33;1510;1567
1B1Q1bk1/p4pp1/1pq1p2p/8/2P5/1P4P1/P4P1P/6K1 b - - 1 28;0;0
1B1Q1k2/1p3pp1/4p1nr/4Pq1p/3R3P/8/5P2/5RK1 b - - 4 41;10;10
1B1Q1nk1/3b1ppp/1p6/p1qp4/8/P3P2P/1P2BPP1/6K1 b - - 2 27;-155;-160
1B1Q1nk1/3b1ppp/1p6/p2p4/8/P3P2P/1P2BPP1/2q3K1 w - - 3 27;181;183
1B1Q1nk1/3b1ppp/1p6/p2p4/8/P3P2P/1P2BPPK/2q5 b - - 4 28;-183;-182
1B1Q1nk1/3b1ppp/1p6/p2p4/8/P3P2P/1Pq1BPPK/8 w - - 5 28;249;254
1B1Q1nk1/5q2/2p5/1pp4N/4P1p1/1P1PN2b/2P1KP2/8 w - - 3 41;910;918
1B1Q1nk1/pbP2r1p/q4b2/3Bpp2/1P6/7P/5PP1/4R1K1 w - - 5 30;518;525
1B1Q1nk1/pbP2rbp/5q2/4pp2/1P6/7P/B4PP1/4R1K1 b - - 2 29;-387;-401
1B1Q1nk1/pbP2rbp/q7/3Bpp2/1P6/7P/5PP1/4R1K1 b - - 4 30;-438;-439
1B1Q1nk1/pbP2rbp/q7/4pp2/1P6/7P/B4PP1/4R1K1 w - - 3 29;417;441
1B1Q1qk1/p4ppp/8/1r6/2p5/5p2/1P2N1PP/1K5R w - - 2 30;532;532
1B1Q1rk1/1Pp2pbp/2n3p1/8/6b1/5N2/PP3PPP/R4RK1 b - - 0 19;-376;-374
1B1Q1rk1/4ppbp/5np1/8/Np6/1P4P1/P4PBP/2R2bK1 b - - 0 20;-300;-313
1B1Q1rk1/4ppbp/p4np1/1p6/N7/4Pb2/PP3PPP/2R2RK1 b - - 0 19;-239;-244
1B1Q1rk1/6pp/p1q1pp2/8/n7/1N6/P4PPP/3R2K1 w - - 1 31;298;294
1B1Q1rk1/p4p1p/6p1/5b2/2p5/2n3P1/Pb2PPBP/R4RK1 b - - 0 18;130;135
1B1Q1rk1/p4p1p/6p1/5b2/2p5/6P1/Pb2nPBP/R4R1K b - - 1 19;98;104
1B1Q1rk1/p4p1p/6p1/5b2/2p5/6P1/Pb2nPBP/R4RK1 w - - 0 18;-92;-98
1B1Q1rk1/p4pbp/1p4p1/2p5/P1b1P3/5NP1/1P3PBP/R3n1K1 b - - 0 20;-14;-20
1B1Q2Q1/p7/2q1b3/2p2p2/knPp3p/3P3P/6PK/1R6 b - - 0 55;-707;-738
1B1Q2b1/p7/2q5/2p2p2/knPp3p/3P3P/6PK/1R6 w - - 0 55;789;824
1B1Q2b1/pq4pk/1p2pn1p/2p5/1P2P3/P1N4P/B4PP1/6K1 w - - 0 33;526;531
1B1Q2b1/pq4pk/1pp1pn1p/8/1P2P3/P1N4P/B4PP1/6K1 b - - 0 33;-528;-522
1B1Q2k1/1b2qpp1/ppr3n1/8/4P2p/5P1P/P3B1P1/3R2K1 b - - 3 29;-105;-111
1B1Q2k1/1b2r1pp/2q1pp2/1p6/5P2/P7/6PP/6RK b - - 0 32;161;166
1B1Q2k1/1b3pp1/2p3np/p7/4q3/P3P2P/4BPP1/6K1 b - - 3 27;-192;-163
1B1Q2k1/1p2qppp/p1r1rnb1/P1p5/2P1P1P1/5P2/4B2P/R2R2K1 b - - 2 28;-170;-172
1B1Q2k1/1p3pp1/p1p1r3/7p/8/1P2N2P/P1P2PPK/4q3 b - - 5 33;-222;-214
1B1Q2k1/1q3ppp/2r2n2/8/4P1P1/P4P2/1PP4P/2KR3R b - - 1 26;-1;-1
1B1Q2k1/1q4pp/2b2p2/1p6/4n3/PP5P/6PK/3B4 b - - 3 37;-65;-61
1B1Q2k1/1r3pp1/2p2n1p/8/4P2q/2Pb1P2/P3B3/2K1R3 b - - 1 30;455;475
1B1Q2k1/3p3p/2p1p2q/p1P3p1/2b2p1r/8/P1P2PPP/4R1K1 b - - 2 28;-626;-651
1B1Q2k1/4b1p1/r3P2p/8/pp6/8/5PPP/3R2K1 b - - 0 35;-980;-1002
1B1Q2k1/4nppp/pp2p3/8/P7/5P1P/5P2/6K1 b - - 0 40;10;10
1B1Q2k1/4ppbp/p1r3p1/1pr1PP2/8/1P5P/P5PK/8 b - - 2 32;72;83
1B1Q2k1/5b2/6P1/2p5/2P1P3/8/4BK2/q7 b - - 0 74;-14;-14
1B1Q2k1/5p1p/1nq3p1/p2pP3/3PB3/2P5/PrP3K1/8 b - - 1 33;146;158
1B1Q2k1/5p1p/4q1p1/p1p1N3/4P3/6P1/p4P1P/b5K1 b - - 5 27;86;79
1B1Q2k1/5p2/2p3p1/7p/1Pqbp3/P6P/5PP1/6K1 b - - 11 34;6;0
1B1Q2k1/5p2/5p2/7p/3p4/1P1q3P/P3n1PK/8 b - - 1 36;113;107
1B1Q2k1/5p2/7p/6p1/6Pn/P4PKP/q7/8 b - - 4 45;0;0
1B1Q2k1/5p2/7p/6p1/6Pn/P4PKP/q7/8 b - - 8 47;0;0
